Title,Price,Rating,Specs
Godrej 2026 Model 2 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹36,490",3.9,"Annual Power Usage: 1076.57 kWhRoom Size: 180 to 230 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Godrej 2026 Model 1.5 Ton 4 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹33,990",4,"Annual Power Usage: 728.31 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Hitachi 2026 Model 1 Ton 3 Star Split Inverter AC,"₹25,490",3.9,"Annual Power Usage: 632.61 kWhRoom Size: 80 to 130 sq. ft.1 Year Warranty On Product, 5 Year Warranty on PCB & 10 Year Warranty on Compressor."
Voltas 2025 Model 0.6 Ton 2 Star Split Fixed Speed AC,"₹19,990",3.8,"Annual Power Usage: 475.3 UnitsRoom Size: Up to 80 sq. ft.5 years warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid till 31st May 2026). It is applicable only for residential usage and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor"
Oakter 2026 Model 0.5 Ton 3 Star Window Inverter AC,"₹16,665",3.8,Annual Power Usage: 307 kWhRoom Size: Up to 80 sq. ft.
Haier 2025 Model 1.5 Ton 4 Star Split Triple Inverter with Wi-fi AC,"₹28,490",4.1,Annual Power Usage: 913 kWhRoom Size: 130 to 180 sq. ft.5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).
Hisense 2026 Model 2 Ton 3 Star Split Inverter AC,"₹32,990",3.6,"Annual Power Usage: 1073.79 kWhRoom Size: 180 to 230 sq. ft.1 Year Comprehensive warranty on Product, 5 Year on PCB & 10 Year on Compressor"
Godrej 2026 Model 1 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹33,990",4,"Annual Power Usage: 468.65 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Godrej 2026 Model 1.5 Ton 4 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹33,990",4,"Annual Power Usage: 728.31 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Hisense 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹26,990",3.9,"Annual Power Usage: 782.29 kWhRoom Size: 130 to 180 sq. ft.1 Year Comprehensive warranty on Product, 5 Year on PCB & 10 Year on Compressor"
MOTOROLA 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehen...,"₹31,990",4.2,"Annual Power Usage: 858.22 kWhRoom Size: 130 to 180 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
